Atributo,Balanced_Accuracy_CV,F1_CV,Recall_CV,ROC_AUC_CV,PR_AUC_CV
lead_time,0.6191617124832849,0.5963713089150906,0.9098109826008163,0.6191617124832849,0.4369771978429607
hotel,0.5053974035912441,0.5408895401784797,0.9836547708038301,0.5053974035912441,0.37295383694136786
adults,0.5346110185310349,0.5343419524809805,0.8457538908902104,0.5346110185310349,0.3874409174244722
stays_in_week_nights,0.5411091806395568,0.5164162261900461,0.7332750518903618,0.5411091806395568,0.39105021200537554
arrival_date_week_number,0.49712896989399874,0.37905126669027983,0.5375564241165283,0.49712896989399874,0.3691036283378234
arrival_date_month,0.49937061678634886,0.36924932226611995,0.5822646141331272,0.49937061678634886,0.37012877880812345
arrival_date_day_of_month,0.5020544352063612,0.30737738013089644,0.27777221623286613,0.5020544352063612,0.37139367284784885
stays_in_weekend_nights,0.5012273248149673,0.00871891726327921,0.004393218755073735,0.5012273248149673,0.371366392355021
