param_model__max_depth,param_model__min_samples_leaf,mean_test_RMSE,std_test_RMSE,mean_test_MAE,mean_test_R2,mean_train_RMSE,mean_train_R2,rank_test_RMSE,RMSE_CV,MAE_CV,RMSE_train_CV
8,100,-15.417472132941327,0.10157302505388609,-12.304612185744178,0.35378344081314017,-15.116929703593462,0.37880259778035147,1,15.417472132941327,12.304612185744178,15.116929703593462
8,50,-15.422781588639605,0.09787076782745459,-12.312375692664208,0.35333627650523525,-15.0622325605453,0.38328965387662006,2,15.422781588639605,12.312375692664208,15.0622325605453
12,200,-15.440944330193384,0.0971660055901795,-12.327980693061559,0.3518262935688909,-15.148448466986295,0.37620900806494817,3,15.440944330193384,12.327980693061559,15.148448466986295
10,200,-15.441354380087049,0.0985504966524966,-12.328297625754008,0.35179265445797026,-15.150784774048955,0.376016479462528,4,15.441354380087049,12.328297625754008,15.150784774048955
8,20,-15.443745519139146,0.0935340514988899,-12.323543332295934,0.3515753749722187,-15.023806729173732,0.3864322410977795,5,15.443745519139146,12.323543332295934,15.023806729173732
8,200,-15.444298330322107,0.09481032092088951,-12.327833418111544,0.3515422042549483,-15.208723243534612,0.37123495656515604,6,15.444298330322107,12.327833418111544,15.208723243534612
10,100,-15.451411783748181,0.11148242572285388,-12.334576857813252,0.3509348729758565,-14.974510515656842,0.39045260797754167,7,15.451411783748181,12.334576857813252,14.974510515656842
12,100,-15.47799161341043,0.10793177904973282,-12.355916043026976,0.3486953857989999,-14.937699786190043,0.3934456366148221,8,15.47799161341043,12.355916043026976,14.937699786190043
8,1,-15.4958917343521,0.09270897988004767,-12.356415615487853,0.3471862871831068,-14.991632455289428,0.38905751219678436,9,15.4958917343521,12.356415615487853,14.991632455289428
10,50,-15.53483754716055,0.11079552938100738,-12.395824001637754,0.34389645065443475,-14.812412024955265,0.40357768222863016,10,15.53483754716055,12.395824001637754,14.812412024955265
6,50,-15.626453772345139,0.09959073567125337,-12.473492992140008,0.33617256678866675,-15.424191280700944,0.3532942436241734,11,15.626453772345139,12.473492992140008,15.424191280700944
6,20,-15.62725879081638,0.09371323179590561,-12.472695510783646,0.3361000490974656,-15.421445518047587,0.35352448135298015,12,15.62725879081638,12.472695510783646,15.421445518047587
6,1,-15.62947542739623,0.09319174164210514,-12.4751237644339,0.33591139545925286,-15.420735933787721,0.35358402048414594,13,15.62947542739623,12.4751237644339,15.420735933787721
6,100,-15.631961905625417,0.09938981392586492,-12.479814325046823,0.33570420957268043,-15.433068818490483,0.3525495531806086,14,15.631961905625417,12.479814325046823,15.433068818490483
6,200,-15.639921688985215,0.09415150994074761,-12.48763424611467,0.335024063989242,-15.459437172569782,0.35033479384826716,15,15.639921688985215,12.48763424611467,15.459437172569782
12,50,-15.651128463597479,0.12158526322451342,-12.486854575619676,0.3340267765581035,-14.665762687302873,0.41532963575899257,16,15.651128463597479,12.486854575619676,14.665762687302873
10,20,-15.674161371966752,0.10653598032666106,-12.512842023218692,0.3320675981873862,-14.63043896012166,0.41813979425549236,17,15.674161371966752,12.512842023218692,14.63043896012166
10,1,-15.969897319581477,0.0890862947870422,-12.686069715770767,0.30662789126811,-14.402651977428633,0.4361170293543422,18,15.969897319581477,12.686069715770767,14.402651977428633
12,20,-16.011329605741157,0.10018384907657736,-12.777845631356104,0.3029994653645031,-14.212379354549773,0.4509165617974976,19,16.011329605741157,12.777845631356104,14.212379354549773
4,100,-16.129133921629546,0.09162656395290045,-12.886927791014504,0.29274925467063795,-16.020908468591465,0.3022885459291834,20,16.129133921629546,12.886927791014504,16.020908468591465
4,200,-16.129133921629546,0.09162656395290045,-12.886927791014504,0.29274925467063795,-16.020908468591465,0.3022885459291834,20,16.129133921629546,12.886927791014504,16.020908468591465
4,50,-16.129133921629546,0.09162656395290045,-12.886927791014504,0.29274925467063795,-16.020908468591465,0.3022885459291834,20,16.129133921629546,12.886927791014504,16.020908468591465
4,20,-16.129133921629546,0.09162656395290045,-12.886927791014504,0.29274925467063795,-16.020908468591465,0.3022885459291834,20,16.129133921629546,12.886927791014504,16.020908468591465
4,1,-16.129133921629546,0.09162656395290045,-12.886927791014504,0.29274925467063795,-16.020908468591465,0.3022885459291834,20,16.129133921629546,12.886927791014504,16.020908468591465
12,1,-16.872288873461976,0.06657506640158611,-13.319867770490697,0.2260620490192462,-13.403105658817367,0.5116646895906818,25,16.872288873461976,13.319867770490697,13.403105658817367
