mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_train_RMSE,split1_train_RMSE,split2_train_RMSE,split3_train_RMSE,split4_train_RMSE,mean_train_RMSE,std_train_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_train_MAE,split1_train_MAE,split2_train_MAE,split3_train_MAE,split4_train_MAE,mean_train_MAE,std_train_MAE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_train_R2,split1_train_R2,split2_train_R2,split3_train_R2,split4_train_R2,mean_train_R2,std_train_R2,RMSE_CV,R2_CV
0.10088934898376464,0.029631775037482575,0.02965202331542969,0.00880493341704032,8,50,"{'model__max_depth': 8, 'model__min_samples_leaf': 50}",-15.331233286081321,-14.999627038912905,-15.472051302902628,-15.489990846749816,-15.465056688279857,-15.351591832585305,0.18484194923730582,1,-14.690656506200684,-14.787003223894613,-14.670112254441921,-14.656601874320627,-14.648264683731261,-14.69052770851782,0.05032187975676361,-12.301154945313263,-11.930066823799432,-12.247033976114276,-12.341712252307207,-12.285666822200623,-12.221126963946961,0.14865924884515472,1,-11.6801185459498,-11.761761212287979,-11.6675485137657,-11.660946587484638,-11.649367811781092,-11.68394853425384,0.04015808328886108,0.3777615476378715,0.3580968401836686,0.33125187570883774,0.3699056179621454,0.3425454241782583,0.35591226113415636,0.017115984816488086,1,0.4066527765260002,0.4094952728501208,0.41622154857712335,0.4077797013205694,0.41558815718771414,0.41114749129230554,0.003993491375453892,15.351591832585305,0.35591226113415636
0.08798213005065918,0.0030861230485674305,0.025649452209472658,0.0009454608395692107,12,50,"{'model__max_depth': 12, 'model__min_samples_leaf': 50}",-15.334967155007382,-15.00351542862047,-15.476160990966411,-15.496020849404665,-15.467344022883493,-15.355601689376485,0.18500213718886796,2,-14.653858697270731,-14.759583788529747,-14.642745634251886,-14.619906247267956,-14.609066871390924,-14.65703224774225,0.05368428914542817,-12.301451962798046,-11.93620318927759,-12.250124211632347,-12.34539671031689,-12.288659444981331,-12.224367103801242,0.14725869516719522,3,-11.651827166137794,-11.741226878508767,-11.64525145720157,-11.632744743591989,-11.6213289313252,-11.658475835353062,0.0426820938691087,0.377458422677044,0.35776399281999205,0.33089656261708533,0.369414951392962,0.3423509302501908,0.3555769719514548,0.01708286512945054,2,0.40962153867980977,0.41168317992521775,0.41839755670607937,0.4107414642729681,0.41871166929229375,0.4138310817752737,0.003912858278689979,15.355601689376485,0.3555769719514548
0.1321958065032959,0.0025598661189158967,0.03466606140136719,0.005027315158179611,,50,"{'model__max_depth': None, 'model__min_samples_leaf': 50}",-15.334967155007382,-15.00351542862047,-15.476160990966411,-15.496020849404664,-15.467344022883493,-15.355601689376485,0.1850021371888677,2,-14.65385869727073,-14.759583788529747,-14.642745634251886,-14.619906247267956,-14.609066871390924,-14.657032247742247,0.053684289145428186,-12.301451962798046,-11.93620318927759,-12.250124211632347,-12.345396710316885,-12.288659444981331,-12.224367103801239,0.14725869516719436,2,-11.651827166137794,-11.741226878508767,-11.64525145720157,-11.632744743591992,-11.6213289313252,-11.658475835353064,0.04268209386910827,0.377458422677044,0.35776399281999205,0.3308965626170852,0.3694149513929622,0.3423509302501908,0.3555769719514548,0.01708286512945061,2,0.40962153867980977,0.41168317992521763,0.41839755670607937,0.4107414642729681,0.41871166929229375,0.4138310817752737,0.003912858278689992,15.355601689376485,0.3555769719514548
0.17889394760131835,0.08914640057363238,0.036331892013549805,0.003107751076810645,8,1,"{'model__max_depth': 8, 'model__min_samples_leaf': 1}",-15.354822791489351,-14.946975176328248,-15.492995181140222,-15.52554807344174,-15.55238113332709,-15.374544471145331,0.2243492739188454,4,-13.22105870272838,-13.385856952126128,-13.260306609231591,-13.257822978367559,-13.237469762854733,-13.272503001061676,0.05845890329481809,-12.371514588859617,-11.917182901764276,-12.246361722568576,-12.364756924734143,-12.370761054838882,-12.254115438553098,0.175050823028201,4,-10.520936945231734,-10.698398395236023,-10.589441679052966,-10.59584170575798,-10.565326915587171,-10.593989128173176,0.058452630819570056,0.3758452517347921,0.36259536256304137,0.32944013674724393,0.3670095383417876,0.3350997423393862,0.35399800634525025,0.01833439375366082,4,0.5194274362369137,0.5161002444675358,0.5230330156137579,0.5154248500952565,0.5227382682076583,0.5193447629242244,0.0031943242631165833,15.374544471145331,0.35399800634525025
0.09235153198242188,0.005591554350253876,0.02705984115600586,0.0024118845399715766,12,100,"{'model__max_depth': 12, 'model__min_samples_leaf': 100}",-15.479192548575483,-15.102651332073036,-15.59783211269698,-15.548747998206856,-15.58110668481887,-15.461906135274244,0.18416785018869808,5,-15.079450612210856,-15.202325584259818,-15.090849195606486,-15.09407295337446,-15.059226958345727,-15.10518506075947,0.05007930967119144,-12.397756317476928,-12.026682365345874,-12.345785783325683,-12.395463077708925,-12.396239389777032,-12.312385386726888,0.14419666799393493,6,-12.00168455906064,-12.094652988745038,-12.005418852480766,-12.004325450574676,-11.966561544131737,-12.014528678998571,0.042597693050481944,0.3656933470475918,0.3492487894639259,0.32033443622123736,0.3651163615972901,0.33264130653897983,0.34660684817380505,0.017883804758345695,6,0.37483084215149676,0.37585843954784626,0.3822559878508739,0.3718988386987868,0.38233640075291453,0.37743610180038367,0.004175689405149551,15.461906135274244,0.34660684817380505
0.10599231719970703,0.004446005772580045,0.02948298454284668,0.0012721673172318769,,100,"{'model__max_depth': None, 'model__min_samples_leaf': 100}",-15.479192548575483,-15.102651332073036,-15.597832112696976,-15.548747998206855,-15.58110668481887,-15.461906135274244,0.18416785018869739,5,-15.079450612210856,-15.202325584259818,-15.090849195606486,-15.09407295337446,-15.059226958345727,-15.10518506075947,0.05007930967119144,-12.397756317476928,-12.026682365345874,-12.34578578332568,-12.395463077708925,-12.396239389777033,-12.312385386726888,0.144196667993935,6,-12.00168455906064,-12.094652988745038,-12.005418852480762,-12.004325450574676,-11.966561544131734,-12.01452867899857,0.042597693050482895,0.3656933470475918,0.3492487894639259,0.3203344362212377,0.3651163615972902,0.33264130653897983,0.3466068481738051,0.017883804758345622,5,0.37483084215149676,0.37585843954784626,0.3822559878508739,0.3718988386987868,0.38233640075291453,0.37743610180038367,0.004175689405149551,15.461906135274244,0.3466068481738051
0.0774503231048584,0.005185802741795057,0.02739572525024414,0.000918166855810182,8,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 100}",-15.4791508432028,-15.102651332073036,-15.59824338226567,-15.5485993422799,-15.581006905781424,-15.461930361120565,0.18420094529277123,7,-15.080372617706011,-15.202325584259818,-15.090958327908355,-15.094118625422897,-15.06049447994819,-15.105653927049053,0.04974525784462322,-12.397613776258327,-12.026682365345874,-12.345944985006817,-12.395420447456686,-12.39588560009342,-12.312309434832226,0.14414119435073333,5,-12.00269867019285,-12.094652988745036,-12.005306790304504,-12.00439890816212,-11.966584326449807,-12.014728336770863,0.042534624094179345,0.36569676505013116,0.3492487894639259,0.32029859413159434,0.36512850132257535,0.3326498538387579,0.3466045007613969,0.01789624714600884,7,0.37475439015924417,0.37585843954784626,0.3822470531555625,0.37189503764255094,0.3822324199967517,0.37739746810039115,0.004159962641162922,15.461930361120565,0.3466045007613969
0.11579308509826661,0.0046687411759463076,0.0252932071685791,0.000891478121712185,12,1,"{'model__max_depth': 12, 'model__min_samples_leaf': 1}",-15.681176992368869,-15.071043902807999,-15.766371084718653,-15.769716952417618,-15.782238415882174,-15.614109469639061,0.27389154538641775,8,-9.634099773574146,-9.737167735684862,-9.71542018558326,-9.75735106757527,-9.588799201015398,-9.686567592686588,0.06436563890463712,-12.622811479653615,-12.107706006091139,-12.543764637228701,-12.573032799584144,-12.583057953716548,-12.486074575254829,0.19086927824165248,8,-7.660317355318004,-7.789316303941957,-7.760289214813913,-7.778928425471275,-7.6530310574485965,-7.728376471398749,0.05932379139643588,0.34903149845617343,0.35196977520885,0.30556712652658036,0.34694301067499744,0.31530064394655977,0.3337624109626322,0.019360745131544274,8,0.7448187354364202,0.7439478975243349,0.7439620374037986,0.7375294573438893,0.7495764897172716,0.7439669234851429,0.0038375558131117757,15.614109469639061,0.3337624109626322
0.27388601303100585,0.040685527137431045,0.09611368179321289,0.1349611202722179,,1,"{'model__max_depth': None, 'model__min_samples_leaf': 1}",-15.878007599062924,-15.299974180246188,-15.954276751642489,-15.996008559287532,-16.001342660823813,-15.825921950212589,0.26664988539163426,9,-6.233129445318781,-6.195828521943211,-6.169124171555877,-6.227460193132509,-6.170802514094093,-6.199268969208894,0.027100411504004468,-12.79055925,-12.309994000000001,-12.67556,-12.756886,-12.79370725,-12.6653413,0.18270955621788038,9,-4.818511,-4.8160330625,-4.802568687499999,-4.79302625,-4.7966778749999985,-4.805363374999999,0.010219149829869404,0.33258698357458816,0.3321329951851486,0.2889158048928865,0.3280661178395293,0.29615736448616126,0.3155718531956627,0.019012417088681902,9,0.8931833881983746,0.8963279174656449,0.896764703458135,0.893085003214559,0.8962877762807759,0.8951297577234978,0.0016382317682223544,15.825921950212589,0.3155718531956627
