mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__weights,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,RMSE_CV,MAE_CV,R2_CV
0.021384811401367186,0.0003741487379230256,0.1157102108001709,0.002510974189372143,50,distance,"{'model__n_neighbors': 50, 'model__weights': 'distance'}",-15.701218624165712,-15.276060852685267,-15.555693443317788,-16.106013725434458,-15.879959940480237,-15.703789317216692,0.28203233813385686,1,-12.581481973455343,-12.142810078473353,-12.372455996231482,-12.8399214415593,-12.656310380783014,-12.518595974100498,0.2403089241972692,1,0.34736646933584003,0.3342190694839777,0.3240018068515468,0.3187925093213152,0.3067952581203174,0.3262350226225994,0.013773639644649253,1,15.703789317216692,12.518595974100498,0.3262350226225994
0.02319016456604004,0.001573519219175607,0.135015869140625,0.013751547065602382,70,distance,"{'model__n_neighbors': 70, 'model__weights': 'distance'}",-15.752949769958196,-15.286535736373105,-15.568308712947724,-16.10620899866306,-15.871607402628307,-15.71712212411408,0.27715987663492403,2,-12.635035381845269,-12.142190258250812,-12.393271256627532,-12.836188649706159,-12.66092254313102,-12.53352161791216,0.24122759752745793,2,0.34305889315664995,0.33330569673369015,0.3229049277620719,0.3187759909705037,0.30752428969860346,0.32511395966430384,0.012194846066019973,2,15.71712212411408,12.53352161791216,0.32511395966430384
0.023048830032348634,0.0013878797654173433,0.11596031188964843,0.0034306651639758007,50,uniform,"{'model__n_neighbors': 50, 'model__weights': 'uniform'}",-15.71649776658989,-15.307681700070557,-15.576546988762464,-16.12786133797116,-15.900930398677932,-15.725903638414403,0.2791092359537474,3,-12.593824125000001,-12.163300875,-12.378573375,-12.861701375000003,-12.671738999999997,-12.53382775,0.24145984258847333,3,0.3460956721172487,0.33145993591108247,0.3221881418940371,0.31694315643892634,0.30496321074776234,0.3243300234218114,0.013847786889546066,3,15.725903638414403,12.53382775,0.3243300234218114
0.021956157684326173,0.00037954061412236406,0.1077193260192871,0.0007129547714853843,30,distance,"{'model__n_neighbors': 30, 'model__weights': 'distance'}",-15.740110476017122,-15.313812884223692,-15.593586863110476,-16.120328285860953,-15.886511462918635,-15.730869994426175,0.2715771364810037,4,-12.602593940749728,-12.18585807538801,-12.45357534316347,-12.804940910711103,-12.671536688376479,-12.543700991677758,0.21176913153538798,4,0.344129324129974,0.33092428809693775,0.320704353948399,0.3175810960888499,0.3062231555104402,0.32391244355492016,0.01281543549979926,4,15.730869994426175,12.543700991677758,0.32391244355492016
0.022015953063964845,0.0007890585916259786,0.12433338165283203,0.006043291855877212,70,uniform,"{'model__n_neighbors': 70, 'model__weights': 'uniform'}",-15.779062111910134,-15.318545901385585,-15.592692995028369,-16.12898639889302,-15.893031175047545,-15.742463716452928,0.27406107680802483,5,-12.660612946428571,-12.164709821428568,-12.405197589285715,-12.85694580357143,-12.679241339285714,-12.553341499999998,0.24187381245976589,5,0.34087917587550787,0.33051064373262007,0.3207822299750539,0.3168478546068795,0.30565359642653456,0.32293470012331915,0.011997653876082549,5,15.742463716452928,12.553341499999998,0.32293470012331915
0.022908878326416016,0.0017375341115946454,0.10750060081481934,0.0007150506106922971,30,uniform,"{'model__n_neighbors': 30, 'model__weights': 'uniform'}",-15.750288326611322,-15.348996326158158,-15.61449186098624,-16.135865669890045,-15.90145959146387,-15.750220355021927,0.2649522845986722,6,-12.612451666666669,-12.204577916666667,-12.455125833333332,-12.820793541666667,-12.676929791666666,-12.553975750000001,0.21051318966045215,6,0.3432808533441112,0.327846357261104,0.31888178509603304,0.3162649796699136,0.3049169474705755,0.32223818456834746,0.012815735319769513,6,15.750220355021927,12.553975750000001,0.32223818456834746
0.02630615234375,0.0020746628454207396,0.17172722816467284,0.01011367759333046,100,distance,"{'model__n_neighbors': 100, 'model__weights': 'distance'}",-15.834446934322273,-15.293007111797861,-15.605318130918878,-16.15211326681953,-15.877777903885152,-15.752532669548737,0.28806139200625686,7,-12.71937506981492,-12.103549760223316,-12.427936445968353,-12.888004159914209,-12.673883777525738,-12.562549842689307,0.27265793653955084,7,0.33624400089740236,0.33274110284062486,0.3196818827481295,0.31488734747693803,0.30698574905337395,0.32210801660329375,0.010950760145858772,7,15.752532669548737,12.562549842689307,0.32210801660329375
0.02411961555480957,0.0007241708040607823,0.10225062370300293,0.004872071441166506,20,distance,"{'model__n_neighbors': 20, 'model__weights': 'distance'}",-15.755884058150263,-15.308429921608694,-15.633993132761914,-16.241144374492702,-15.945546405133229,-15.77699957842936,0.3112210328678817,8,-12.63226698108635,-12.18079353373977,-12.459975986205297,-12.898726641471171,-12.691742539617174,-12.572701136423952,0.24096062084885625,9,0.3428141346711461,0.33139457940448047,0.31717939656564864,0.30731379416189275,0.3010573675241822,0.31995185446547003,0.015349453006868564,8,15.77699957842936,12.572701136423952,0.31995185446547003
0.03298583030700684,0.009936274021836543,0.1674741268157959,0.004650834002107515,100,uniform,"{'model__n_neighbors': 100, 'model__weights': 'uniform'}",-15.869571001047493,-15.32314525946758,-15.632528508579474,-16.18155484107812,-15.899592016382448,-15.781278325311021,0.28775942353121287,9,-12.750144,-12.123858562499999,-12.444535499999999,-12.9160199375,-12.692937624999999,-12.585499124999998,0.2759991761437465,10,0.33329603971930855,0.33010855810831496,0.3173073266107769,0.31238746674269424,0.3050802084028149,0.3196359199167819,0.010640546805401324,9,15.781278325311021,12.585499124999998,0.3196359199167819
0.023996400833129882,0.002080988289448479,0.10485515594482422,0.006130974283998645,20,uniform,"{'model__n_neighbors': 20, 'model__weights': 'uniform'}",-15.74551480602889,-15.328249040410448,-15.646091488861126,-16.25345874173306,-15.9521892793552,-15.785100671277743,0.30883066274566473,10,-12.619782500000001,-12.187660312500002,-12.446711250000003,-12.912862812500002,-12.684866249999997,-12.570376625000002,0.24273875017101332,8,0.34367886349466115,0.3296622334787468,0.3161221870441139,0.3062629782918508,0.30047489076152556,0.3192402306141796,0.015723448566417123,10,15.785100671277743,12.570376625000002,0.3192402306141796
0.02436838150024414,0.001345525440785156,0.18924179077148437,0.004036568788995189,150,distance,"{'model__n_neighbors': 150, 'model__weights': 'distance'}",-15.875091888681318,-15.352141616580719,-15.68331161028534,-16.20204680153884,-15.931568894971921,-15.808832162411628,0.28227436048152804,11,-12.753035581625454,-12.149986784225339,-12.488856355071553,-12.92465699344049,-12.708908928320538,-12.605088928536677,0.2666152754486369,11,0.3328320778505903,0.32757085585620993,0.3128645950459198,0.3106448096311686,0.302282185494843,0.31723890477574634,0.011280216201004993,11,15.808832162411628,12.605088928536677,0.31723890477574634
