Modelo,Muestra_CV,Folds,RMSE_CV_mean,RMSE_CV_std,MAE_CV_mean,MAE_CV_std,R2_CV_mean,R2_CV_std,fit_time_mean_s,score_time_mean_s
Random Forest podado CV,8000,5,15.336053775127283,0.3344202513675063,12.258964581849025,0.33903382356816275,0.3649697626196368,0.007993123161017026,0.13847012519836427,0.033887290954589845
KNN K=50 (distance),8000,5,15.698091215785468,0.29665178084540483,12.491645822722218,0.2725728224878781,0.33457429141992645,0.0065365701825595614,0.026227617263793947,0.13309125900268554
Árbol podado CV,8000,5,15.85006249829764,0.30867731321800346,12.650385279337247,0.3163653625277601,0.32163715756209466,0.007280452616954405,0.029084396362304688,0.008144903182983398
Baseline (media),8000,5,19.24867466258589,0.3250410247123477,15.394447966015628,0.2422762022570853,-0.0004996708866039423,0.000528640403739441,0.010415029525756837,0.005742883682250977
